year;Mes;Día;value
2020;Abr;15;848.63
2020;Abr;16;859.31
2020;Abr;17;852.52
2020;Abr;18;
2020;Abr;19;
2020;Abr;20;849.45
2020;Abr;21;856.23
2020;Abr;22;862.06
2020;Abr;23;856.51
2020;Abr;24;858.87
2020;Abr;25;
2020;Abr;26;
2020;Abr;27;859.95
2020;Abr;28;856.76
2020;Abr;29;850.41
2020;Abr;30;836.62
2020;Abr;31;
2019;May;1;
2019;May;2;678.71
2019;May;3;683.31
2019;May;4;
2019;May;5;
2019;May;6;678.68
2019;May;7;681.09
2019;May;8;683.49
2019;May;9;684.51
2019;May;10;686.43
2019;May;11;
2019;May;12;
2019;May;13;685.67
2019;May;14;693.04
2019;May;15;692.33
2019;May;16;692.62
2019;May;17;692.79
2019;May;18;
2019;May;19;
2019;May;20;696.61
2019;May;21;
2019;May;22;697.23
2019;May;23;696.7
2019;May;24;698.03
2019;May;25;
2019;May;26;
2019;May;27;694.84
2019;May;28;696.46
2019;May;29;703.48
2019;May;30;708.2
2019;May;31;707.86
2020;May;1;
2020;May;2;
2020;May;3;
2020;May;4;837.92
2020;May;5;838.74
2020;May;6;832.84
2020;May;7;839.08
2020;May;8;836.27
2020;May;9;
2020;May;10;
2020;May;11;827.65
2020;May;12;826.05
2020;May;13;821.88
2020;May;14;820.38
2020;May;15;822.93
2020;May;16;
2020;May;17;
2020;May;18;823.86
2020;May;19;820.65
2020;May;20;819.08
2020;May;21;
2020;May;22;806.17
2020;May;23;
2020;May;24;
2020;May;25;805.75
2020;May;26;803.74
2020;May;27;802.1
2020;May;28;816.47
2020;May;29;812.74
2020;May;30;
2020;May;31;
2019;Jun;1;
2019;Jun;2;
2019;Jun;3;709.8
2019;Jun;4;704.59
2019;Jun;5;696.78
2019;Jun;6;693.25
2019;Jun;7;692.21
2019;Jun;8;
2019;Jun;9;
2019;Jun;10;692.28
2019;Jun;11;697.34
2019;Jun;12;693.6
2019;Jun;13;694.89
2019;Jun;14;696.25
2019;Jun;15;
2019;Jun;16;
2019;Jun;17;698.72
2019;Jun;18;699.52
2019;Jun;19;696.81
2019;Jun;20;693.99
2019;Jun;21;684.19
2019;Jun;22;
2019;Jun;23;
2019;Jun;24;683.41
2019;Jun;25;682.31
2019;Jun;26;678.32
2019;Jun;27;680.06
2019;Jun;28;679.86
2019;Jun;29;
2019;Jun;30;
2019;Jun;31;
2020;Jun;1;806.32
2020;Jun;2;796.46
2020;Jun;3;782.86
2020;Jun;4;769.13
2020;Jun;5;775.58
2020;Jun;6;
2020;Jun;7;
2020;Jun;8;764.97
2020;Jun;9;769.26
2020;Jun;10;771.96
2020;Jun;11;767.93
2020;Jun;12;784.65
2020;Jun;13;
2020;Jun;14;
2020;Jun;15;790.73
2020;Jun;16;796.87
2020;Jun;17;779.1
2020;Jun;18;798.53
2020;Jun;19;812.19
2020;Jun;20;
2020;Jun;21;
2020;Jun;22;817.33
2020;Jun;23;816.02
2020;Jun;24;817.9
2020;Jun;25;820.68
2020;Jun;26;813.25
2020;Jun;27;
2020;Jun;28;
2020;Jun;29;
2020;Jun;30;816.36
2020;Jun;31;
2019;Jul;1;679.15
2019;Jul;2;677.62
2019;Jul;3;681.3
2019;Jul;4;680.48
2019;Jul;5;677.64
2019;Jul;6;
2019;Jul;7;
2019;Jul;8;683.12
2019;Jul;9;685.83
2019;Jul;10;688.88
2019;Jul;11;685.4
2019;Jul;12;683.38
2019;Jul;13;
2019;Jul;14;
2019;Jul;15;681.07
2019;Jul;16;
2019;Jul;17;679.48
2019;Jul;18;681.69
2019;Jul;19;683.27
2019;Jul;20;
2019;Jul;21;
2019;Jul;22;685.81
2019;Jul;23;688.28
2019;Jul;24;691.57
2019;Jul;25;691.36
2019;Jul;26;694.16
2019;Jul;27;
2019;Jul;28;
2019;Jul;29;696.62
2019;Jul;30;697.22
2019;Jul;31;699.98
2020;Jul;1;821.23
2020;Jul;2;816.29
2020;Jul;3;803.98
2020;Jul;4;
2020;Jul;5;
2020;Jul;6;801.46
2020;Jul;7;798.79
2020;Jul;8;793.88
2020;Jul;9;786.18
2020;Jul;10;781.74
2020;Jul;11;
2020;Jul;12;
2020;Jul;13;790.82
2020;Jul;14;788.22
2020;Jul;15;787.87
2020;Jul;16;
2020;Jul;17;787.5
2020;Jul;18;
2020;Jul;19;
2020;Jul;20;787.26
2020;Jul;21;786.04
2020;Jul;22;777.66
2020;Jul;23;769.06
2020;Jul;24;767.17
2020;Jul;25;
2020;Jul;26;
2020;Jul;27;768.63
2020;Jul;28;768.81
2020;Jul;29;767.82
2020;Jul;30;759.18
2020;Jul;31;754.45
2019;Ago;1;700.82
2019;Ago;2;704.88
2019;Ago;3;
2019;Ago;4;
2019;Ago;5;711.13
2019;Ago;6;721.7
2019;Ago;7;716.35
2019;Ago;8;718.55
2019;Ago;9;710.98
2019;Ago;10;
2019;Ago;11;
2019;Ago;12;712.04
2019;Ago;13;716.69
2019;Ago;14;708.37
2019;Ago;15;
2019;Ago;16;710.14
2019;Ago;17;
2019;Ago;18;
2019;Ago;19;709.26
2019;Ago;20;711.94
2019;Ago;21;710.63
2019;Ago;22;709.52
2019;Ago;23;713.22
2019;Ago;24;
2019;Ago;25;
2019;Ago;26;716.4
2019;Ago;27;718.75
2019;Ago;28;721.55
2019;Ago;29;724.2
2019;Ago;30;720.65
2019;Ago;31;
2020;Ago;1;
2020;Ago;2;
2020;Ago;3;757.06
2020;Ago;4;761.34
2020;Ago;5;767.98
2020;Ago;6;774.82
2020;Ago;7;777.18
2020;Ago;8;
2020;Ago;9;
2020;Ago;10;784.28
2020;Ago;11;796.58
2020;Ago;12;793.61
2020;Ago;13;792.69
2020;Ago;14;793.32
2020;Ago;15;
2020;Ago;16;
2020;Ago;17;796.73
2020;Ago;18;803.4
2020;Ago;19;796.23
2020;Ago;20;784.25
2020;Ago;21;785.84
2020;Ago;22;
2020;Ago;23;
2020;Ago;24;790.88
