;anio;mes;1.Dólar observado
65;1988;01;243.72600000000003
66;1988;02;239.99714285714285
67;1988;03;243.32565217391303
68;1988;04;241.87550000000002
69;1988;05;245.15318181818182
70;1988;06;248.31
71;1988;07;248.31761904761905
72;1988;08;245.59272727272727
73;1988;09;245.6738095238095
74;1988;10;247.0894736842105
75;1988;11;246.4352380952381
76;1988;12;244.63095238095238
