,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
145,1983-01-01 00:00:00,,1983-01-01,00:00:00,1983,01,01
146,1983-01-02 00:00:00,,1983-01-02,00:00:00,1983,01,02
147,1983-01-03 00:00:00,73.43,1983-01-03,00:00:00,1983,01,03
148,1983-01-04 00:00:00,73.83,1983-01-04,00:00:00,1983,01,04
149,1983-01-05 00:00:00,73.86,1983-01-05,00:00:00,1983,01,05
150,1983-01-06 00:00:00,74.11,1983-01-06,00:00:00,1983,01,06
151,1983-01-07 00:00:00,73.98,1983-01-07,00:00:00,1983,01,07
152,1983-01-08 00:00:00,,1983-01-08,00:00:00,1983,01,08
153,1983-01-09 00:00:00,,1983-01-09,00:00:00,1983,01,09
154,1983-01-10 00:00:00,73.9,1983-01-10,00:00:00,1983,01,10
155,1983-01-11 00:00:00,74.1,1983-01-11,00:00:00,1983,01,11
156,1983-01-12 00:00:00,73.74,1983-01-12,00:00:00,1983,01,12
157,1983-01-13 00:00:00,73.49,1983-01-13,00:00:00,1983,01,13
158,1983-01-14 00:00:00,,1983-01-14,00:00:00,1983,01,14
159,1983-01-15 00:00:00,,1983-01-15,00:00:00,1983,01,15
160,1983-01-16 00:00:00,,1983-01-16,00:00:00,1983,01,16
161,1983-01-17 00:00:00,73.06,1983-01-17,00:00:00,1983,01,17
162,1983-01-18 00:00:00,73.4,1983-01-18,00:00:00,1983,01,18
163,1983-01-19 00:00:00,73.51,1983-01-19,00:00:00,1983,01,19
164,1983-01-20 00:00:00,73.75,1983-01-20,00:00:00,1983,01,20
165,1983-01-21 00:00:00,74.16,1983-01-21,00:00:00,1983,01,21
166,1983-01-22 00:00:00,,1983-01-22,00:00:00,1983,01,22
167,1983-01-23 00:00:00,,1983-01-23,00:00:00,1983,01,23
168,1983-01-24 00:00:00,74.34,1983-01-24,00:00:00,1983,01,24
169,1983-01-25 00:00:00,74.51,1983-01-25,00:00:00,1983,01,25
170,1983-01-26 00:00:00,74.67,1983-01-26,00:00:00,1983,01,26
171,1983-01-27 00:00:00,75.09,1983-01-27,00:00:00,1983,01,27
172,1983-01-28 00:00:00,74.85,1983-01-28,00:00:00,1983,01,28
173,1983-01-29 00:00:00,,1983-01-29,00:00:00,1983,01,29
174,1983-01-30 00:00:00,,1983-01-30,00:00:00,1983,01,30
175,1983-01-31 00:00:00,75.08,1983-01-31,00:00:00,1983,01,31
176,1983-02-01 00:00:00,75.27,1983-02-01,00:00:00,1983,02,01
177,1983-02-02 00:00:00,75.48,1983-02-02,00:00:00,1983,02,02
178,1983-02-03 00:00:00,75.52,1983-02-03,00:00:00,1983,02,03
179,1983-02-04 00:00:00,75.07,1983-02-04,00:00:00,1983,02,04
180,1983-02-05 00:00:00,,1983-02-05,00:00:00,1983,02,05
181,1983-02-06 00:00:00,,1983-02-06,00:00:00,1983,02,06
182,1983-02-07 00:00:00,75.71,1983-02-07,00:00:00,1983,02,07
