,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
2922,2018-01-01 00:00:00,,2018-01-01,00:00:00,2018,01,01
2923,2018-01-02 00:00:00,614.75,2018-01-02,00:00:00,2018,01,02
2924,2018-01-03 00:00:00,609.49,2018-01-03,00:00:00,2018,01,03
2925,2018-01-04 00:00:00,604.84,2018-01-04,00:00:00,2018,01,04
2926,2018-01-05 00:00:00,604.0,2018-01-05,00:00:00,2018,01,05
2927,2018-01-06 00:00:00,,2018-01-06,00:00:00,2018,01,06
2928,2018-01-07 00:00:00,,2018-01-07,00:00:00,2018,01,07
2929,2018-01-08 00:00:00,606.04,2018-01-08,00:00:00,2018,01,08
2930,2018-01-09 00:00:00,606.29,2018-01-09,00:00:00,2018,01,09
2931,2018-01-10 00:00:00,607.25,2018-01-10,00:00:00,2018,01,10
2932,2018-01-11 00:00:00,609.17,2018-01-11,00:00:00,2018,01,11
2933,2018-01-12 00:00:00,608.04,2018-01-12,00:00:00,2018,01,12
2934,2018-01-13 00:00:00,,2018-01-13,00:00:00,2018,01,13
2935,2018-01-14 00:00:00,,2018-01-14,00:00:00,2018,01,14
2936,2018-01-15 00:00:00,604.09,2018-01-15,00:00:00,2018,01,15
2937,2018-01-16 00:00:00,601.69,2018-01-16,00:00:00,2018,01,16
2938,2018-01-17 00:00:00,601.69,2018-01-17,00:00:00,2018,01,17
2939,2018-01-18 00:00:00,604.99,2018-01-18,00:00:00,2018,01,18
2940,2018-01-19 00:00:00,605.45,2018-01-19,00:00:00,2018,01,19
2941,2018-01-20 00:00:00,,2018-01-20,00:00:00,2018,01,20
2942,2018-01-21 00:00:00,,2018-01-21,00:00:00,2018,01,21
2943,2018-01-22 00:00:00,606.55,2018-01-22,00:00:00,2018,01,22
2944,2018-01-23 00:00:00,606.28,2018-01-23,00:00:00,2018,01,23
2945,2018-01-24 00:00:00,608.15,2018-01-24,00:00:00,2018,01,24
2946,2018-01-25 00:00:00,604.12,2018-01-25,00:00:00,2018,01,25
2947,2018-01-26 00:00:00,599.33,2018-01-26,00:00:00,2018,01,26
2948,2018-01-27 00:00:00,,2018-01-27,00:00:00,2018,01,27
2949,2018-01-28 00:00:00,,2018-01-28,00:00:00,2018,01,28
2950,2018-01-29 00:00:00,600.37,2018-01-29,00:00:00,2018,01,29
2951,2018-01-30 00:00:00,604.63,2018-01-30,00:00:00,2018,01,30
2952,2018-01-31 00:00:00,604.42,2018-01-31,00:00:00,2018,01,31
2953,2018-02-01 00:00:00,603.25,2018-02-01,00:00:00,2018,02,01
2954,2018-02-02 00:00:00,599.19,2018-02-02,00:00:00,2018,02,02
2955,2018-02-03 00:00:00,,2018-02-03,00:00:00,2018,02,03
2956,2018-02-04 00:00:00,,2018-02-04,00:00:00,2018,02,04
2957,2018-02-05 00:00:00,601.26,2018-02-05,00:00:00,2018,02,05
2958,2018-02-06 00:00:00,603.07,2018-02-06,00:00:00,2018,02,06
