,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
3287,1999-01-01 00:00:00,,1999-01-01,00:00:00,1999,01,01
3288,1999-01-02 00:00:00,,1999-01-02,00:00:00,1999,01,02
3289,1999-01-03 00:00:00,,1999-01-03,00:00:00,1999,01,03
3290,1999-01-04 00:00:00,472.41,1999-01-04,00:00:00,1999,01,04
3291,1999-01-05 00:00:00,471.61,1999-01-05,00:00:00,1999,01,05
3292,1999-01-06 00:00:00,470.57,1999-01-06,00:00:00,1999,01,06
3293,1999-01-07 00:00:00,468.69,1999-01-07,00:00:00,1999,01,07
3294,1999-01-08 00:00:00,470.88,1999-01-08,00:00:00,1999,01,08
3295,1999-01-09 00:00:00,,1999-01-09,00:00:00,1999,01,09
3296,1999-01-10 00:00:00,,1999-01-10,00:00:00,1999,01,10
3297,1999-01-11 00:00:00,470.23,1999-01-11,00:00:00,1999,01,11
3298,1999-01-12 00:00:00,471.12,1999-01-12,00:00:00,1999,01,12
3299,1999-01-13 00:00:00,473.36,1999-01-13,00:00:00,1999,01,13
3300,1999-01-14 00:00:00,477.96,1999-01-14,00:00:00,1999,01,14
3301,1999-01-15 00:00:00,476.01,1999-01-15,00:00:00,1999,01,15
3302,1999-01-16 00:00:00,,1999-01-16,00:00:00,1999,01,16
3303,1999-01-17 00:00:00,,1999-01-17,00:00:00,1999,01,17
3304,1999-01-18 00:00:00,478.77,1999-01-18,00:00:00,1999,01,18
3305,1999-01-19 00:00:00,476.91,1999-01-19,00:00:00,1999,01,19
3306,1999-01-20 00:00:00,478.54,1999-01-20,00:00:00,1999,01,20
3307,1999-01-21 00:00:00,478.51,1999-01-21,00:00:00,1999,01,21
3308,1999-01-22 00:00:00,478.38,1999-01-22,00:00:00,1999,01,22
3309,1999-01-23 00:00:00,,1999-01-23,00:00:00,1999,01,23
3310,1999-01-24 00:00:00,,1999-01-24,00:00:00,1999,01,24
3311,1999-01-25 00:00:00,479.37,1999-01-25,00:00:00,1999,01,25
3312,1999-01-26 00:00:00,478.34,1999-01-26,00:00:00,1999,01,26
3313,1999-01-27 00:00:00,478.28,1999-01-27,00:00:00,1999,01,27
3314,1999-01-28 00:00:00,480.44,1999-01-28,00:00:00,1999,01,28
3315,1999-01-29 00:00:00,483.25,1999-01-29,00:00:00,1999,01,29
3316,1999-01-30 00:00:00,,1999-01-30,00:00:00,1999,01,30
3317,1999-01-31 00:00:00,,1999-01-31,00:00:00,1999,01,31
3318,1999-02-01 00:00:00,488.34,1999-02-01,00:00:00,1999,02,01
3319,1999-02-02 00:00:00,488.71,1999-02-02,00:00:00,1999,02,02
3320,1999-02-03 00:00:00,490.99,1999-02-03,00:00:00,1999,02,03
3321,1999-02-04 00:00:00,492.44,1999-02-04,00:00:00,1999,02,04
3322,1999-02-05 00:00:00,489.92,1999-02-05,00:00:00,1999,02,05
3323,1999-02-06 00:00:00,,1999-02-06,00:00:00,1999,02,06
3324,1999-02-07 00:00:00,,1999-02-07,00:00:00,1999,02,07
3325,1999-02-08 00:00:00,488.01,1999-02-08,00:00:00,1999,02,08
3326,1999-02-09 00:00:00,489.75,1999-02-09,00:00:00,1999,02,09
3327,1999-02-10 00:00:00,492.53,1999-02-10,00:00:00,1999,02,10
3328,1999-02-11 00:00:00,492.7,1999-02-11,00:00:00,1999,02,11
3329,1999-02-12 00:00:00,493.26,1999-02-12,00:00:00,1999,02,12
3330,1999-02-13 00:00:00,,1999-02-13,00:00:00,1999,02,13
3331,1999-02-14 00:00:00,,1999-02-14,00:00:00,1999,02,14
3332,1999-02-15 00:00:00,493.47,1999-02-15,00:00:00,1999,02,15
3333,1999-02-16 00:00:00,496.64,1999-02-16,00:00:00,1999,02,16
3334,1999-02-17 00:00:00,497.57,1999-02-17,00:00:00,1999,02,17
3335,1999-02-18 00:00:00,497.71,1999-02-18,00:00:00,1999,02,18
3336,1999-02-19 00:00:00,496.54,1999-02-19,00:00:00,1999,02,19
3337,1999-02-20 00:00:00,,1999-02-20,00:00:00,1999,02,20
3338,1999-02-21 00:00:00,,1999-02-21,00:00:00,1999,02,21
3339,1999-02-22 00:00:00,495.88,1999-02-22,00:00:00,1999,02,22
3340,1999-02-23 00:00:00,494.29,1999-02-23,00:00:00,1999,02,23
3341,1999-02-24 00:00:00,494.82,1999-02-24,00:00:00,1999,02,24
3342,1999-02-25 00:00:00,496.66,1999-02-25,00:00:00,1999,02,25
3343,1999-02-26 00:00:00,498.74,1999-02-26,00:00:00,1999,02,26
3344,1999-02-27 00:00:00,,1999-02-27,00:00:00,1999,02,27
3345,1999-02-28 00:00:00,,1999-02-28,00:00:00,1999,02,28
3346,1999-03-01 00:00:00,501.15,1999-03-01,00:00:00,1999,03,01
3347,1999-03-02 00:00:00,502.46,1999-03-02,00:00:00,1999,03,02
3348,1999-03-03 00:00:00,502.35,1999-03-03,00:00:00,1999,03,03
3349,1999-03-04 00:00:00,500.55,1999-03-04,00:00:00,1999,03,04
3350,1999-03-05 00:00:00,496.69,1999-03-05,00:00:00,1999,03,05
3351,1999-03-06 00:00:00,,1999-03-06,00:00:00,1999,03,06
3352,1999-03-07 00:00:00,,1999-03-07,00:00:00,1999,03,07
3353,1999-03-08 00:00:00,499.38,1999-03-08,00:00:00,1999,03,08
3354,1999-03-09 00:00:00,495.12,1999-03-09,00:00:00,1999,03,09
3355,1999-03-10 00:00:00,493.1,1999-03-10,00:00:00,1999,03,10
3356,1999-03-11 00:00:00,492.54,1999-03-11,00:00:00,1999,03,11
3357,1999-03-12 00:00:00,489.76,1999-03-12,00:00:00,1999,03,12
3358,1999-03-13 00:00:00,,1999-03-13,00:00:00,1999,03,13
3359,1999-03-14 00:00:00,,1999-03-14,00:00:00,1999,03,14
3360,1999-03-15 00:00:00,490.34,1999-03-15,00:00:00,1999,03,15
3361,1999-03-16 00:00:00,492.63,1999-03-16,00:00:00,1999,03,16
3362,1999-03-17 00:00:00,489.86,1999-03-17,00:00:00,1999,03,17
3363,1999-03-18 00:00:00,489.68,1999-03-18,00:00:00,1999,03,18
3364,1999-03-19 00:00:00,489.83,1999-03-19,00:00:00,1999,03,19
3365,1999-03-20 00:00:00,,1999-03-20,00:00:00,1999,03,20
3366,1999-03-21 00:00:00,,1999-03-21,00:00:00,1999,03,21
3367,1999-03-22 00:00:00,489.64,1999-03-22,00:00:00,1999,03,22
3368,1999-03-23 00:00:00,489.45,1999-03-23,00:00:00,1999,03,23
3369,1999-03-24 00:00:00,489.95,1999-03-24,00:00:00,1999,03,24
3370,1999-03-25 00:00:00,490.15,1999-03-25,00:00:00,1999,03,25
3371,1999-03-26 00:00:00,487.99,1999-03-26,00:00:00,1999,03,26
3372,1999-03-27 00:00:00,,1999-03-27,00:00:00,1999,03,27
3373,1999-03-28 00:00:00,,1999-03-28,00:00:00,1999,03,28
3374,1999-03-29 00:00:00,485.05,1999-03-29,00:00:00,1999,03,29
3375,1999-03-30 00:00:00,485.64,1999-03-30,00:00:00,1999,03,30
3376,1999-03-31 00:00:00,483.83,1999-03-31,00:00:00,1999,03,31
3377,1999-04-01 00:00:00,484.08,1999-04-01,00:00:00,1999,04,01
3378,1999-04-02 00:00:00,,1999-04-02,00:00:00,1999,04,02
3379,1999-04-03 00:00:00,,1999-04-03,00:00:00,1999,04,03
3380,1999-04-04 00:00:00,,1999-04-04,00:00:00,1999,04,04
3381,1999-04-05 00:00:00,486.27,1999-04-05,00:00:00,1999,04,05
3382,1999-04-06 00:00:00,485.81,1999-04-06,00:00:00,1999,04,06
3383,1999-04-07 00:00:00,482.7,1999-04-07,00:00:00,1999,04,07
3384,1999-04-08 00:00:00,484.7,1999-04-08,00:00:00,1999,04,08
3385,1999-04-09 00:00:00,485.56,1999-04-09,00:00:00,1999,04,09
3386,1999-04-10 00:00:00,,1999-04-10,00:00:00,1999,04,10
3387,1999-04-11 00:00:00,,1999-04-11,00:00:00,1999,04,11
3388,1999-04-12 00:00:00,483.92,1999-04-12,00:00:00,1999,04,12
3389,1999-04-13 00:00:00,482.86,1999-04-13,00:00:00,1999,04,13
3390,1999-04-14 00:00:00,482.02,1999-04-14,00:00:00,1999,04,14
3391,1999-04-15 00:00:00,479.05,1999-04-15,00:00:00,1999,04,15
3392,1999-04-16 00:00:00,477.9,1999-04-16,00:00:00,1999,04,16
3393,1999-04-17 00:00:00,,1999-04-17,00:00:00,1999,04,17
3394,1999-04-18 00:00:00,,1999-04-18,00:00:00,1999,04,18
3395,1999-04-19 00:00:00,476.66,1999-04-19,00:00:00,1999,04,19
3396,1999-04-20 00:00:00,475.33,1999-04-20,00:00:00,1999,04,20
3397,1999-04-21 00:00:00,476.11,1999-04-21,00:00:00,1999,04,21
3398,1999-04-22 00:00:00,478.26,1999-04-22,00:00:00,1999,04,22
3399,1999-04-23 00:00:00,481.52,1999-04-23,00:00:00,1999,04,23
3400,1999-04-24 00:00:00,,1999-04-24,00:00:00,1999,04,24
3401,1999-04-25 00:00:00,,1999-04-25,00:00:00,1999,04,25
3402,1999-04-26 00:00:00,484.27,1999-04-26,00:00:00,1999,04,26
3403,1999-04-27 00:00:00,484.58,1999-04-27,00:00:00,1999,04,27
3404,1999-04-28 00:00:00,485.51,1999-04-28,00:00:00,1999,04,28
3405,1999-04-29 00:00:00,485.47,1999-04-29,00:00:00,1999,04,29
3406,1999-04-30 00:00:00,486.3,1999-04-30,00:00:00,1999,04,30
3407,1999-05-01 00:00:00,,1999-05-01,00:00:00,1999,05,01
3408,1999-05-02 00:00:00,,1999-05-02,00:00:00,1999,05,02
3409,1999-05-03 00:00:00,483.92,1999-05-03,00:00:00,1999,05,03
3410,1999-05-04 00:00:00,483.37,1999-05-04,00:00:00,1999,05,04
3411,1999-05-05 00:00:00,480.99,1999-05-05,00:00:00,1999,05,05
3412,1999-05-06 00:00:00,478.31,1999-05-06,00:00:00,1999,05,06
3413,1999-05-07 00:00:00,478.46,1999-05-07,00:00:00,1999,05,07
3414,1999-05-08 00:00:00,,1999-05-08,00:00:00,1999,05,08
3415,1999-05-09 00:00:00,,1999-05-09,00:00:00,1999,05,09
3416,1999-05-10 00:00:00,477.71,1999-05-10,00:00:00,1999,05,10
3417,1999-05-11 00:00:00,476.51,1999-05-11,00:00:00,1999,05,11
3418,1999-05-12 00:00:00,476.35,1999-05-12,00:00:00,1999,05,12
3419,1999-05-13 00:00:00,478.96,1999-05-13,00:00:00,1999,05,13
3420,1999-05-14 00:00:00,481.4,1999-05-14,00:00:00,1999,05,14
3421,1999-05-15 00:00:00,,1999-05-15,00:00:00,1999,05,15
