,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
1461,2004-01-01 00:00:00,,2004-01-01,00:00:00,2004,01,01
1462,2004-01-02 00:00:00,593.8,2004-01-02,00:00:00,2004,01,02
1463,2004-01-03 00:00:00,,2004-01-03,00:00:00,2004,01,03
1464,2004-01-04 00:00:00,,2004-01-04,00:00:00,2004,01,04
1465,2004-01-05 00:00:00,587.69,2004-01-05,00:00:00,2004,01,05
1466,2004-01-06 00:00:00,579.43,2004-01-06,00:00:00,2004,01,06
1467,2004-01-07 00:00:00,565.18,2004-01-07,00:00:00,2004,01,07
1468,2004-01-08 00:00:00,567.83,2004-01-08,00:00:00,2004,01,08
1469,2004-01-09 00:00:00,568.61,2004-01-09,00:00:00,2004,01,09
1470,2004-01-10 00:00:00,,2004-01-10,00:00:00,2004,01,10
1471,2004-01-11 00:00:00,,2004-01-11,00:00:00,2004,01,11
1472,2004-01-12 00:00:00,560.51,2004-01-12,00:00:00,2004,01,12
1473,2004-01-13 00:00:00,559.21,2004-01-13,00:00:00,2004,01,13
1474,2004-01-14 00:00:00,563.65,2004-01-14,00:00:00,2004,01,14
1475,2004-01-15 00:00:00,572.08,2004-01-15,00:00:00,2004,01,15
1476,2004-01-16 00:00:00,569.56,2004-01-16,00:00:00,2004,01,16
1477,2004-01-17 00:00:00,,2004-01-17,00:00:00,2004,01,17
1478,2004-01-18 00:00:00,,2004-01-18,00:00:00,2004,01,18
1479,2004-01-19 00:00:00,577.4,2004-01-19,00:00:00,2004,01,19
1480,2004-01-20 00:00:00,572.69,2004-01-20,00:00:00,2004,01,20
1481,2004-01-21 00:00:00,567.13,2004-01-21,00:00:00,2004,01,21
1482,2004-01-22 00:00:00,564.83,2004-01-22,00:00:00,2004,01,22
1483,2004-01-23 00:00:00,565.76,2004-01-23,00:00:00,2004,01,23
1484,2004-01-24 00:00:00,,2004-01-24,00:00:00,2004,01,24
1485,2004-01-25 00:00:00,,2004-01-25,00:00:00,2004,01,25
1486,2004-01-26 00:00:00,573.19,2004-01-26,00:00:00,2004,01,26
1487,2004-01-27 00:00:00,578.61,2004-01-27,00:00:00,2004,01,27
